ASR,FAC,W,wë
ASR,SUB,W,wa
ASR,ASM,-,yë
ASR,SPC,-,ya
ASR,COU,-,yû
ASR,ASM,+,hwë
ASR,SPC,+,hwa
ASR,COU,+,hwû
ASR,HYP,0,hë
ASR,IPL,0,ha
ASR,ASC,0,hû
ASR,ASC,0,hî
DIR,FAC,W,we
DIR,SUB,W,wö
DIR,ASM,-,ye
DIR,SPC,-,yö
DIR,COU,-,yeu
DIR,ASM,+,hwe
DIR,SPC,+,hwö
DIR,COU,+,hweu
DIR,COU,W,wei
DIR,HYP,0,he
DIR,IPL,0,hö
DIR,ASC,0,hei
IRG,FAC,W,wu
IRG,SUB,W,wâ
IRG,ASM,-,yu
IRG,SPC,-,yâ
IRG,COU,-,yau
IRG,ASM,+,hwu
IRG,SPC,+,hwâ
IRG,COU,+,hwau
IRG,COU,W,wai
IRG,HYP,0,hu
IRG,IPL,0,hâ
IRG,ASC,0,hai
ADM,FAC,W,wo
ADM,SUB,W,wê
ADM,ASM,-,yo
ADM,SPC,-,yê
ADM,COU,-,you
ADM,ASM,+,hwo
ADM,SPC,+,hwê
ADM,COU,+,hwou
ADM,COU,W,woi
ADM,HYP,0,ho
ADM,IPL,0,hê
ADM,ASC,0,hoi
HOR,FAC,W,wi
HOR,SUB,W,wô
HOR,ASM,-,yi
HOR,SPC,-,yô
HOR,COU,-,yiu
HOR,ASM,+,hwi
HOR,SPC,+,hwô
HOR,COU,+,hwiu
HOR,COU,W,wui
HOR,HYP,0,hi
HOR,IPL,0,hô
HOR,ASC,0,hui
DEC,FAC,W,wî
